seed,kernel,knob,width,Keff_target,Keff_measured,Keff_rice,D_PR,kappa_S,Q,N,alpha,P,solved,epochs_to_solve,final_train_err,init_fire_rate,n_grid,dt,mean_spikes,restart_overlap,n_restarts,optimizer,lr_schedule,batch_size,_shard_status
1,gauss,11.049013821512121,11.049013821512121,32.0,31.759538232384315,31.998710890509145,8.120512295402854,3.0000868114552417,nan,500,2.0,1000,1,110,0.0,0.5009999871253967,59,8.677875162768641,1.6,0.09253296442329884,5,adam,cosine,16,timed_out
1,gauss,11.049013821512121,11.049013821512121,32.0,32.49584901056943,31.998710890509145,8.120512295402854,3.0000868114552417,nan,500,2.2,1100,1,236,0.0,0.5009090900421143,59,8.677875162768641,1.6,0.11388803273439407,5,adam,cosine,16,timed_out
1,gauss,11.049013821512121,11.049013821512121,32.0,33.4285093296039,31.998710890509145,8.120512295402854,3.0000868114552417,nan,500,2.4,1200,1,454,0.0,0.5008333325386047,59,8.677875162768641,1.6,0.09651888031512498,5,adam,cosine,16,timed_out
1,gauss,11.049013821512121,11.049013821512121,32.0,31.31775176547325,31.998710890509145,8.120512295402854,3.0000868114552417,nan,500,2.6,1300,1,749,0.0,0.5007692575454712,59,8.677875162768641,1.6,0.07463085073977709,5,adam,cosine,16,timed_out
1,gauss,11.049013821512121,11.049013821512121,32.0,32.25041208450772,31.998710890509145,8.120512295402854,3.0000868114552417,nan,500,2.8,1400,1,839,0.0,0.5007143020629883,59,8.677875162768641,1.6,0.12837451249361037,5,adam,cosine,16,timed_out
1,gauss,11.049013821512121,11.049013821512121,32.0,32.397674240144745,31.998710890509145,8.120512295402854,3.0000868114552417,nan,500,3.0,1500,1,1084,0.0,0.5006666779518127,59,8.677875162768641,1.6,nan,5,adam,cosine,16,timed_out
1,gauss,44.19705904895555,44.19705904895555,8.0,8.246680715673207,7.999487519616049,2.0056969593365785,3.000034270575378,nan,500,1.8,900,1,52,0.0,0.5011110901832581,15,34.71228900461826,0.4,0.3003054454922676,5,adam,cosine,16,timed_out
1,gauss,44.19705904895555,44.19705904895555,8.0,9.032078879070655,7.999487519616049,2.0056969593365785,3.000034270575378,nan,500,2.0,1000,1,128,0.0,0.5009999871253967,15,34.71228900461826,0.4,0.2538983359932899,5,adam,cosine,16,timed_out
1,gauss,44.19705904895555,44.19705904895555,8.0,9.866564427680444,7.999487519616049,2.0056969593365785,3.000034270575378,nan,500,2.2,1100,1,382,0.0,0.5009090900421143,15,34.71228900461826,0.4,0.2648510247468948,5,adam,cosine,16,timed_out
1,gauss,44.19705904895555,44.19705904895555,8.0,8.786641953008953,7.999487519616049,2.0056969593365785,3.000034270575378,nan,500,2.4,1200,1,836,0.0,0.5008333325386047,15,34.71228900461826,0.4,0.3026248390475909,5,adam,cosine,16,timed_out
1,gauss,44.19705904895555,44.19705904895555,8.0,8.786641953008953,7.999487519616049,2.0056969593365785,3.000034270575378,nan,500,2.6,1300,1,915,0.00615384615957737,0.5007692575454712,15,34.71228900461826,0.4,nan,5,adam,cosine,16,timed_out
1,gauss,44.19705904895555,44.19705904895555,8.0,8.197593330460867,7.999487519616049,2.0056969593365785,3.000034270575378,nan,500,2.8,1400,0,-1,0.014285714365541935,0.5007143020629883,15,34.71228900461826,0.4,nan,5,adam,cosine,16,timed_out
1,gauss,44.19705904895555,44.19705904895555,8.0,8.982991493858314,7.999487519616049,2.0056969593365785,3.000034270575378,nan,500,3.0,1500,0,-1,0.07866666465997696,0.5006666779518127,15,34.71228900461826,0.4,nan,5,adam,cosine,16,timed_out
1,gauss,44.19705904895555,44.19705904895555,8.0,9.081166264282997,7.999487519616049,2.0056969593365785,3.000034270575378,nan,500,3.2,1600,0,-1,0.08312500268220901,0.5006250143051147,15,34.71228900461826,0.4,nan,5,adam,cosine,16,timed_out
1,gauss,44.19705904895555,44.19705904895555,8.0,9.228428419920018,7.999487519616049,2.0056969593365785,3.000034270575378,nan,500,3.4,1700,0,-1,0.12705881893634796,0.5005882382392883,15,34.71228900461826,0.4,nan,5,adam,cosine,16,timed_out
2,gauss,22.094882025527312,22.094882025527312,16.0,17.573283906017906,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,1.8,900,1,71,0.0,0.5011110901832581,30,17.35327976333244,0.8,0.14224898517131807,5,adam,cosine,16,timed_out
2,gauss,22.094882025527312,22.094882025527312,16.0,15.609788497524285,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,2.0,1000,1,99,0.0,0.5009999871253967,30,17.35327976333244,0.8,0.14637801423668861,5,adam,cosine,16,timed_out
2,gauss,22.094882025527312,22.094882025527312,16.0,17.72054606165493,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,2.2,1100,1,581,0.0,0.5009090900421143,30,17.35327976333244,0.8,0.1805516615509987,5,adam,cosine,16,timed_out
2,gauss,22.094882025527312,22.094882025527312,16.0,16.14974973486003,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,2.4,1200,1,716,0.0,0.5008333325386047,30,17.35327976333244,0.8,0.16844924986362458,5,adam,cosine,16,timed_out
2,gauss,22.094882025527312,22.094882025527312,16.0,16.591536201771095,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,2.6,1300,1,548,0.0007692307699471712,0.5007692575454712,30,17.35327976333244,0.8,0.1872449442744255,5,adam,cosine,16,timed_out
2,gauss,22.094882025527312,22.094882025527312,16.0,17.033322668682157,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,2.8,1400,1,883,0.002142857061699033,0.5007143020629883,30,17.35327976333244,0.8,nan,5,adam,cosine,16,timed_out
2,gauss,22.094882025527312,22.094882025527312,16.0,17.622371291230245,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,3.0,1500,0,-1,0.007333333138376474,0.5006666779518127,30,17.35327976333244,0.8,nan,5,adam,cosine,16,timed_out
2,gauss,22.094882025527312,22.094882025527312,16.0,16.886060513045134,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,3.2,1600,0,-1,0.09000000357627869,0.5006250143051147,30,17.35327976333244,0.8,nan,5,adam,cosine,16,timed_out
2,gauss,22.094882025527312,22.094882025527312,16.0,17.37693436516854,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,3.4,1700,0,-1,0.07823529094457626,0.5005882382392883,30,17.35327976333244,0.8,nan,5,adam,cosine,16,timed_out
